ID;Path;Slice Name;Alias(s);Label;Min;Max;Must Support?;Is Modifier?;Is Summary?;Type(s);Short;Definition;Comments;Requirements;Default Value;Meaning When Missing;Fixed Value;Pattern;Example;Minimum Value;Maximum Value;Maximum Length;Binding Strength;Binding Description;Binding Value Set;Code;Slicing Discriminator;Slicing Description;Slicing Ordered;Slicing Rules;Base Path;Base Min;Base Max;Condition(s);Constraint(s);Mapping: Workflow Pattern;Mapping: FiveWs Pattern Mapping;Mapping: RIM Mapping;Mapping: Object Implementation Information
TestScript.contact;TestScript.contact;;;;0;*;;;Y;"ContactDetail
";Contact details for the publisher;Contact details to assist a user in finding and communicating with the publisher.;"May be a web site, an email address, a telephone number, etc.

See guidance around (not) making local changes to elements [here](canonicalresource.html#localization).";;;;;;;;;;;;;;;;;;TestScript.contact;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.contact;;;
TestScript.description;TestScript.description;;;;0;1;;;;"markdown
";Natural language description of the test script;A free text natural language description of the test script from a consumer's perspective.;This description can be used to capture details such as comments about misuse, instructions for clinical use and interpretation, literature references, examples from the paper world, etc. It is not a rendering of the test script as conveyed in the 'text' field of the resource itself. This item SHOULD be populated unless the information is available from context (e.g. the language of the test script is presumed to be the predominant language in the place the test script was created).;;;;;;;;;;;;;;;;;;TestScript.description;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.description;;;
TestScript.useContext;TestScript.useContext;;;;0;*;;;Y;"UsageContext
";The context that the content is intended to support;The content was developed with a focus and intent of supporting the contexts that are listed. These contexts may be general categories (gender, age, ...) or may be references to specific programs (insurance plans, studies, ...) and may be used to assist with indexing and searching for appropriate test script instances.;When multiple useContexts are specified, there is no expectation that all or any of the contexts apply.;Assist in searching for appropriate content.;;;;;;;;;;;;;;;;;TestScript.useContext;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.useContext;;;
TestScript.jurisdiction;TestScript.jurisdiction;;;;0;*;;;Y;"CodeableConcept
";Intended jurisdiction for test script (if applicable);A legal or geographic region in which the test script is intended to be used.;"It may be possible for the test script to be used in jurisdictions other than those for which it was originally designed or intended.

DEPRECATION NOTE: For consistency, implementations are encouraged to migrate to using the new 'jurisdiction' code in the useContext element.  (I.e. useContext.code indicating http://terminology.hl7.org/CodeSystem/usage-context-type#jurisdiction and useContext.valueCodeableConcept indicating the jurisdiction.)";;;;;;;;;;extensible;Countries and regions within which this artifact is targeted for use.;http://hl7.org/fhir/ValueSet/jurisdiction;;;;;;TestScript.jurisdiction;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.jurisdiction;;;
TestScript.purpose;TestScript.purpose;;;;0;1;;;;"markdown
";Why this test script is defined;Explanation of why this test script is needed and why it has been designed as it has.;This element does not describe the usage of the test script. Instead, it provides traceability of ''why'' the resource is either needed or ''why'' it is defined as it is.  This may be used to point to source materials or specifications that drove the structure of this test script.;;;;;;;;;;;;;;;;;;TestScript.purpose;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.purpose;FiveWs.why[x];;no-gen-base
TestScript.copyright;TestScript.copyright;;"License
Restrictions";;0;1;;;;"markdown
";Use and/or publishing restrictions;A copyright statement relating to the test script and/or its contents. Copyright statements are generally legal restrictions on the use and publishing of the test script.;;Consumers must be able to determine any legal restrictions on the use of the test script and/or its content.;;;;;;;;;;;;;;;;;TestScript.copyright;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.copyright;;;no-gen-base
TestScript.copyrightLabel;TestScript.copyrightLabel;;;;0;1;;;;"string
";Copyright holder and year(s);A short string (<50 characters), suitable for inclusion in a page footer that identifies the copyright holder, effective period, and optionally whether rights are resctricted. (e.g. 'All rights reserved', 'Some rights reserved').;The (c) symbol should NOT be included in this string. It will be added by software when rendering the notation. Full details about licensing, restrictions, warrantees, etc. goes in the more general 'copyright' element.;Defines the content expected to be rendered in all representations of the artifact.;;;;;;;;;;;;;;;;;TestScript.copyrightLabel;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem;TestScript.testSystem;;;;0;*;;;;"BackboneElement
";An abstract server representing a client or sender in a message exchange;An abstract server used in operations within this test script in the origin element.;The purpose of this element is to define the profile of an origin element used elsewhere in the script.  Test engines could then use the origin-profile mapping to offer a filtered list of test systems that can serve as the sender for the interaction.;;;;;;;;;;;;;;;;;;TestScript.testSystem;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem.id;TestScript.testSystem.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.testSystem.extension;TestScript.testSystem.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.testSystem.modifierExtension;TestScript.testSystem.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.testSystem.index;TestScript.testSystem.index;;;;1;1;;;;"positiveInt
";The index of the abstract test system;Number for the test system that is unique within this test script.  Referenced by operation.origin and/or operation.destination.;"A given test system index (e.g. 1) can appear only once in the list (e.g. Origin 1 cannot be specified twice ... once as actor A and again as actor B within the same script as that could get confusing during test configuration). 

Different test system indices could play the same actor in the same test script.

The operation.origin and/or operation.destination values defined elsewhere in the test script must be one of these test system indices.";;;;;;;;;;;;;;;;;;TestScript.testSystem.index;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem.title;TestScript.testSystem.title;;;;1;1;;;;"string
";Label for the test system;A short human-friendly label for the test system that is unique within this test script and may be used when rendering the script.;;;;;;;;;;;;;;;;;;;TestScript.testSystem.title;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem.actor;TestScript.testSystem.actor;;;;0;*;;;;"canonical(ActorDefinition|CapabilityStatement)
";Features met by the test system;Reference to requirements that must be satisfied by the test system.;;;;;;;;;;;;;;;;;;;TestScript.testSystem.actor;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem.description;TestScript.testSystem.description;;;;0;1;;;;"markdown
";Formatted information of this test system;Additional information about the role and capabilities of the systems that would participate in this portion of the script.;;;;;;;;;;;;;;;;;;;TestScript.testSystem.description;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.testSystem.url;TestScript.testSystem.url;;;;0;1;;;;"url
";The url path of this test system;The explicit url path of the test system used in this test script. If populated, the test engine is not expected to prompt for or accept external input of this value.;This value represents the host location for an origin test system or the base url for a destination test system.;;;;;;;;;;;;;;;;;;TestScript.testSystem.url;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata;TestScript.metadata;;;;0;1;;;;"BackboneElement
";Required capability that is assumed to function correctly on the FHIR server being tested;The required capability must exist and are assumed to function correctly on the FHIR server being tested.;;;;;;;;;;;;;;;;;;;TestScript.metadata;0;1;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
tst-4:TestScript metadata capability SHALL contain required or validated or both. {capability.required.exists() or capability.validated.exists()}";;;;
TestScript.metadata.id;TestScript.metadata.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.metadata.extension;TestScript.metadata.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.metadata.modifierExtension;TestScript.metadata.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.metadata.link;TestScript.metadata.link;;;;0;*;;;;"BackboneElement
";Links to the FHIR specification;A link to the FHIR specification that this test is covering.;;;;;;;;;;;;;;;;;;;TestScript.metadata.link;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.link.id;TestScript.metadata.link.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.metadata.link.extension;TestScript.metadata.link.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.metadata.link.modifierExtension;TestScript.metadata.link.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.metadata.link.url;TestScript.metadata.link.url;;;;1;1;;;;"uri
";URL to the specification;URL to a particular requirement or feature within the FHIR specification.;;;;;;;;;;;;;;;;;;;TestScript.metadata.link.url;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.link.description;TestScript.metadata.link.description;;;;0;1;;;;"string
";Short description;Short description of the link.;;;;;;;;;;;;;;;;;;;TestScript.metadata.link.description;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability;TestScript.metadata.capability;;;;1;*;;;;"BackboneElement
";Capabilities  that are assumed to function correctly on the FHIR server being tested;Capabilities that must exist and are assumed to function correctly on the FHIR server being tested.;"When the metadata capabilities section is defined at TestScript.metadata, and the server's conformance statement does not contain the elements defined in the minimal conformance statement, then all the tests in the TestScript are skipped. The ""metadata.capabilities.required"" and ""metadata.capabilities.validated"" elements only indicate whether the capabilities are the primary focus of the test script or not. They do not impact the skipping logic. Capabilities whose ""metadata.capabilities.validated"" flag is true are the primary focus of the test script.";;;;;;;;;;;;;;;;;;TestScript.metadata.capability;1;*;"tst-4
";"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.id;TestScript.metadata.capability.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.metadata.capability.extension;TestScript.metadata.capability.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
